State,X,Y
Himachal Pradesh,-86,185
Punjab,-116,163
Uttarakhand,-53,156
Haryana,-101,134
Uttar Pradesh,-38,100
Rajasthan,-159,96
Bihar,44,75
Sikkim,94,109
West Bengal,74,29
Assam,146,93
Meghalaya,130,75
Arunachal Pradesh,187,134
Nagaland,193,90
Manipur,183,67
Mizoram,171,38
Tripura,148,45
Jharkhand,37,37
Chhattisgarh,-19,-1
Madhya Pradesh,-105,26
Gujarat,-187,29
Maharashtra,-130,-38
Odisha,17,-18
Telangana,-69,-70
Goa,-139,-113
Karnataka,-126,-122
Andhra Pradesh,-78,-116
Tamilnadu,-82,-185
Kerala,-102,-196
